id,name,created_at,updated_at,rename,tag_type,name2
156,Convenience Stores / Milk Bars,2014-11-17 06:24:52 +1100,2014-11-17 06:24:52 +1100,convenience store,Delete,
157,Cantonese,2014-11-17 06:25:24 +1100,2014-11-17 06:25:24 +1100,Cantonese,Cuisine,Cantonese
158,Hot Dogs,2014-11-17 08:21:43 +1100,2014-11-17 08:21:43 +1100,hot dogs,Dish_type,hot dogs
159,Greengrocers,2014-11-17 08:37:52 +1100,2014-11-17 08:37:52 +1100,greengrocer,Delete,
160,Brasserie,2014-11-17 08:38:01 +1100,2014-11-17 08:38:01 +1100,brasserie,Venue_type_1,brasserie
161,"Ice Cream, Gelato & Frozen Yoghurt",2014-11-17 08:39:15 +1100,2014-11-17 08:39:15 +1100,frozen dessert,Dish_type,frozen dessert
162,Antiques,2014-11-17 08:42:19 +1100,2014-11-17 08:42:19 +1100,antiques,Delete,
163,Kiosks,2014-11-17 08:44:02 +1100,2014-11-17 08:44:02 +1100,kiosks,Venue_type_0,kiosks
164,Cambodian,2014-11-17 08:44:30 +1100,2014-11-17 08:44:30 +1100,Cambodian,Cuisine,Cambodian
165,Health Food,2014-11-17 08:44:46 +1100,2014-11-17 08:44:46 +1100,health food,Dietary_type,health food
166,Cake Shop & Patisserie Shops,2014-11-17 08:44:50 +1100,2014-11-17 08:44:50 +1100,patisserie,Venue_type_1,patisserie
167,South African Restaurants ,2014-11-17 08:46:24 +1100,2014-11-17 08:46:24 +1100,South African,Cuisine,South African
168,Cuban,2014-11-17 08:55:20 +1100,2014-11-17 08:55:20 +1100,Cuban,Cuisine,Cuban
169,Adult Entertainment,2014-11-17 08:56:27 +1100,2014-11-17 08:56:27 +1100,adult entertainment,Feature_1,adult entertainment
170,Irish,2014-11-17 08:59:25 +1100,2014-11-17 08:59:25 +1100,Irish,Cuisine,Irish
171,Local Flavour,2014-11-17 09:01:16 +1100,2014-11-17 09:01:16 +1100,local flavour,Delete,
172,Tea Rooms,2014-11-17 09:02:12 +1100,2014-11-17 09:02:12 +1100,tea room,Venue_type_1,tea room
173,Beer Bars,2014-11-17 09:05:41 +1100,2014-11-17 09:05:41 +1100,beer bar,Venue_type_2,beer bar
174,Laotian,2014-11-17 09:08:12 +1100,2014-11-17 09:08:12 +1100,Laotian,Cuisine,Laotian
175,Czech,2014-11-17 09:10:09 +1100,2014-11-17 09:10:09 +1100,Czech,Cuisine,Czech
176,Slovakian,2014-11-17 09:10:09 +1100,2014-11-17 09:10:09 +1100,Slovakian,Cuisine,Slovakian
177,Potatoes,2014-11-17 09:12:18 +1100,2014-11-17 09:12:18 +1100,potatoes,Dish_type,potatoes
178,Karaoke,2014-11-17 09:15:19 +1100,2014-11-17 09:15:19 +1100,karaoke,Feature_1,karaoke
179,Arabic,2014-11-17 09:16:21 +1100,2014-11-17 09:16:21 +1100,Arabic,Cuisine,Arabic
180,Cookery Schools,2014-11-17 09:16:54 +1100,2014-11-17 09:16:54 +1100,cooking classes,Delete,
181,Szechuan,2014-11-17 09:20:12 +1100,2014-11-17 09:20:12 +1100,Szechuan,Cuisine,Szechuan
182,Burmese,2014-11-17 09:21:47 +1100,2014-11-17 09:21:47 +1100,Burmese,Cuisine,Burmese
183,Halal,2014-11-17 09:23:12 +1100,2014-11-17 09:23:12 +1100,halal,Dietary_type,halal
184,Yugoslav,2014-11-17 09:24:22 +1100,2014-11-17 09:24:22 +1100,Yugoslav,Cuisine,Yugoslav
185,Ethnic Food,2014-11-17 19:01:12 +1100,2014-11-17 19:01:12 +1100,ethnic food,Delete,
186,Seafood Markets,2014-11-17 19:01:32 +1100,2014-11-17 19:01:32 +1100,seafood shop,Delete,
187,Clubs,2014-11-17 19:03:25 +1100,2014-11-17 19:03:25 +1100,bar,Venue_type_2,bar
188,Scandinavian,2014-11-17 19:03:36 +1100,2014-11-17 19:03:36 +1100,Scandinavian,Cuisine,Scandinavian
189,Shopping,2014-11-17 19:03:40 +1100,2014-11-17 19:03:40 +1100,shopping,Delete,
190,Laos Restaurants ,2014-11-17 19:10:02 +1100,2014-11-17 19:10:02 +1100,Laotian,Cuisine,Laotian
191,Food Courts,2014-11-17 19:10:05 +1100,2014-11-17 19:10:05 +1100,food court,Venue_type_prefix,food court
192,Barbers,2014-11-17 19:11:35 +1100,2014-11-17 19:11:35 +1100,barbers,Delete,
193,Yelp Events,2014-11-17 19:13:03 +1100,2014-11-17 19:13:03 +1100,yelp events,Delete,
194,Office Equipment,2014-11-17 19:13:19 +1100,2014-11-17 19:13:19 +1100,office equipment,Delete,
195,Farmers' Market,2014-11-17 19:14:34 +1100,2014-11-17 19:14:34 +1100,farmers' market,Venue_type_3,farmers' market
196,Yoga,2014-11-17 20:06:44 +1100,2014-11-17 20:06:44 +1100,yoga,Delete,
197,Live & Raw Food,2014-11-17 20:06:44 +1100,2014-11-17 20:06:44 +1100,live & raw food,Dish_type,live & raw food
198,Shopping Centers,2014-11-17 20:08:40 +1100,2014-11-17 20:08:40 +1100,shopping centre,Venue_type_0,shopping centre
199,Outlet Stores,2014-11-17 20:08:40 +1100,2014-11-17 20:08:40 +1100,outlet stores,Delete,
200,Organic Shops,2014-11-17 20:09:10 +1100,2014-11-17 20:09:10 +1100,organic shop,Venue_type_3,organic shop
201,Buddhist Temples,2014-11-17 20:20:42 +1100,2014-11-17 20:20:42 +1100,buddhist temples,Delete,
202,Persian & Iranian,2014-11-17 20:21:25 +1100,2014-11-17 20:21:25 +1100,Persian/Iranian,Cuisine,Persian/Iranian
203,Mamak,2014-11-17 20:26:58 +1100,2014-11-17 20:26:58 +1100,mamak,Delete,
204,Caterers,2014-11-17 20:40:15 +1100,2014-11-17 20:40:15 +1100,catering,Delete,
205,Nyonya,2014-11-17 21:48:41 +1100,2014-11-17 21:48:41 +1100,nyonya,Delete,
206,Teppanyaki,2014-11-17 21:50:03 +1100,2014-11-17 21:50:03 +1100,teppanyaki,Dish_type,teppanyaki
207,Leisure Centres,2014-11-17 21:57:52 +1100,2014-11-17 21:57:52 +1100,leisure centres,Delete,
208,Personal Shopper,2014-11-17 21:59:58 +1100,2014-11-17 21:59:58 +1100,personal shopper,Delete,
