id,dinder_score
404,49.1458851
405,65.72696473
406,61.39984248
407,49.03148658
408,59.81377445
409,79.58166314
410,44.01108164
411,44.55364621
412,75.78088951
413,49.15375465
414,46.04378835
415,74.75547904
416,81.52332181
417,75.03199757
418,52.54669367
419,84.75357285
420,45.79902441
421,60.01876543
422,48.29000859
423,73.18891936
424,74.70340212
699,0
425,69.66057914
426,56.61952105
427,60.74606851
428,70.37716979
429,66.85605522
430,45.72283466
431,56.10724103
432,74.77882041
435,56.26822814
436,51.19359286
437,54.80932729
438,43.30595058
439,51.61388936
440,66.09187977
441,58.94891979
442,54.9086701
443,68.14751174
444,54.96097785
445,61.63673687
446,43.64653714
447,56.55046279
448,44.43616183
449,47.60989244
450,51.1859511
451,42.16941879
452,54.02919405
453,58.29278283
454,80.07555557
616,0
455,65.95621736
456,66.47396749
457,67.09294961
458,42.15891897
459,42.55150652
460,60.80378562
461,43.01479548
462,55.96080242
463,43.02320566
464,58.3926359
465,38.48677041
466,55.96844417
467,56.77207368
468,60.63468598
469,69.12183544
470,66.70322013
471,51.36935321
472,52.71548654
473,60.89126184
474,38.44091988
475,48.06599524
476,62.24232465
477,55.5191084
478,66.489251
479,41.28393808
480,56.30592665
481,57.36430965
617,0
482,56.82556596
483,50.10381974
484,55.73279506
485,62.64594658
486,73.75557854
487,45.00165166
488,48.48869421
489,60.08146365
490,28.49135546
491,54.25029468
492,51.10953356
493,46.10151761
494,39.48430488
495,47.47205839
496,39.46520049
497,85.42677012
498,49.97855388
499,41.76100103
500,37.21736139
501,37.86482089
502,47.35476536
503,34.5330159
504,37.16830655
505,58.98289766
506,41.52410664
507,47.05673693
508,47.12551272
509,85.54705183
510,63.86256796
511,97.46253353
512,32.88254878
513,37.30585813
514,0
515,86.32651079
516,47.75598784
517,29.10133817
518,0
519,0
520,0
524,0
525,45.98307042
526,38.3874276
527,54.8619175
528,0
529,35.89533785
530,35.8189203
531,30.73715353
532,44.52786288
533,55.99901119
534,0
535,41.99080037
536,35.89779803
537,47.07768493
538,38.18592644
539,0
540,0
541,0
542,74.79368781
543,57.42162281
544,51.25948325
545,51.72497726
546,37.60388656
547,0
548,0
549,37.5962448
550,0
551,0
552,0
553,0
554,0
555,0
556,47.5714012
558,0
559,0
560,0
561,0
562,32.74086956
563,0
564,0
565,33.84469003
566,50.96328629
567,0
568,39.70591576
569,56.69616639
570,47.32686506
571,46.53709762
572,0
573,28.70444682
574,30.29480954
575,0
576,0
577,0
578,0
579,28.68916331
580,0
581,0
582,0
583,32.00302718
584,39.46083291
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,57.23850317
594,57.13887789
595,39.79707011
596,37.50454375
597,48.97822209
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,44.03713528
644,0
645,0
646,47.75480331
647,38.67504733
648,0
649,0
650,0
651,0
652,53.58232757
653,40.93909631
654,0
655,0
656,0
657,56.93283299
658,0
659,0
660,0
661,0
662,0
663,0
664,56.49697051
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,57.13887789
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
700,39.6977273
701,0
702,0
703,0
704,60.05066884
705,0
706,0
707,0
763,65.45186156
708,30.53170393
709,0
710,68.54488298
711,53.94513475
712,52.82943859
713,47.67244488
714,0
715,55.74043681
